#aff,Name,formula,dens,cond
# primitive siderophiles
WIA,magnesite,1Mg1C3O,3.1,0
WIA,siderite,1Fe1C3O,4.0,0
WIA,ree_carbonate,1Eu1C3O,4.5,0
WIA,witherite,1Ba1C3O,4.3,0
WIA,natrite,2Na1C3O,2.8,0
WIA,monazite,1Eu1P4O,5.3,0
WIA,amblygonite,1Li1Al1P4O,3.1,0
WIA,apatite,5Ca3P13O1H,3.19,0
WIA,chlorapatite,5Ca3P12O1Cl,3.22,0
WIA,ree_apatite,4Ca1Eu3P13O1H,3.3,0
WIA,fe_triphylite,1Li1Fe1P4O,3.5,0
WIA,mg_triphylite,1Li1Mg1P4O,3.45,0
WIA,schreibersite,2Fe1Ni1P,7.2,0
WIA,pitchblende,2U2Th1Pb1Eu2N12O,12.0,0
WIA,cassiterite,1Sn2O,6.9,900
WIA,tremolite,2Ca5Mg8Si24O2H,2.1,0
WIA,fe_tremolite,2Ca3Fe2Mg8Si24O2H,2.4,0
# 'wet' surface
WSA,borax,2Na4B17O20H,1.73,0
WSA,boracite,3Mg7B13O1Cl,2.95,0
WSA,kaolinite,2Al2Si9O4H,2.35,0
WSA,nontronite,1Ca2Fe1Al7Si24O4H,2.6,0
WSA,mg-nontronite,1Ca1Fe1Mg1Al7Si24O4H,2.5,0
WSA,brucite,1Mg2O2H,2.39,0
WSA,natrolite,2Na2Al3Si11O4H,2.25,0
WSA,stilbite,1Na2Ca5Al13Si43O34H,2.25,0
WSA,na-clay,1Na1Al1Mg4Si14O6H,2.3,0
WSA,ca-clay,1Ca1Al1Mg4Si14O6H,2.3,0
WSA,k-clay,1K1Al1Mg4Si14O6H,2.3,0
WSA,datolite,1Ca1B1Si5O1H,2.98,0
WSA,talc,3Mg4Si12O2H,2.7,0
WSA,halite,1Na1Cl,2.17,0
WSA,k-chloride,1K1Cl,1.99,0
WSA,carnallite,1K1Mg3Cl6O12H,1.6,0
WSA,chlorite,1Ca2Cl,3.8,0
WSA,ree-chlorite,1Eu1Ca4Cl,4.5,0
WSA,chlorapatite,5Ca3P12O1Cl,3.19,0
WSA,barite,1Ba1S4O,4.48,0
WSA,anhydrite,1Ca1S4O,2.97,0
WSA,gypsum,1Ca1S6O4H,2.32,0
WSA,anglesite,1Pb1S4O,6.3,0
WSA,kieserite,1Mg1S8O8H,2.57,0
WSA,melanterite,1Fe1S11O14H,1.9,0
# chalcophiles
