192Pt,10.0 
194Pt,1.44
195Pt,27.5 
196Pt,0.72
198Pt,3.66
Au,98.65
Hg,372.3 
196Hg,3080.180 
198Hg,2
199Hg,2150.48 
200Hg,60.0
201Hg,7.8 
202Hg,4.89
204Hg,0.43
Tl,3.43
203Tl,11.4
205Tl,0.104
Pb,0.171
204Pb,0.65
206Pb,0.03
207Pb,0.699
208Pb,0.00048
Bi,0.0338
Po,5.0
At,5.0
Rn,5.0
Fr,5.0 
Ra,12.8 
Ac,5.0 
Th,7.37
Pa,200.6 
U,7.57
233U,574.7 
234U,100.1 
235U,680.9 
238U,2.68
Np,175.9 
Pu,5.0 
238Pu,558.7 
239Pu,1017.3 
240Pu,289.6 
242Pu,18.5
Am,75.3 
Cm,5.0
244Cm,16.2 
246Cm,1.36
248Cm,3
